abonere (abonnere)
iaften (i aften)
ialt (i alt)
idag (i dag)
igang (i gang)
igår (i går)
Illiaden (Iliaden)
illyriansk (illyrisk)
illyrianske (illyriske)
imorgen (i morgen)
indcheckning (indtjekning)
indeholdte (indeholdt (hvis verbum))
interesant (interessant)
intererseret (interesseret)
interessentselskab (interessentskab)
interplanetar (interplanetarisk)
interplanetart (interplanetarisk)
istand (i stand)
istedet for (i stedet for)
iøvrigt (i øvrigt)
iår (i år)
jagterminilogi (jagtterminologi)
jagterminoligi (jagtterminologi)
jagterminologi (jagtterminologi)
jagtterminilogi (jagtterminologi)
jagtterminoligi (jagtterminologi)
Johanitterordenen (Johanniterordenen)
jorskælv (jordskælv)
kalendre (kalendere)
Kanada (Canada)
kanadisk (canadisk)
kanadiske (canadiske)
kastanie (kastanje)
katedral (domkirke (hovedkirken i et stift), katedral)
kemikalium (kemikalie)
kenetegnet (kendetegnet)
kilo (kg, kilogram)
kirug (kirurg)
kiruger (kirurger)
kirugi (kirurgi)
kirugien (kirurgien)
kirugisk (kirurgisk)
kirugiske (kirurgiske)
klokkeslet (klokkeslæt)
km2 (km²)
knapt (knap (dårligt nok; næsten ikke), knapt (sparsomt))
kokelev (kokkeelev)
koleratur (koloratur)
kollonade (kolonnade)
kollosal (kolossal)
kollosale (kolossale)
kollosalt (kolossalt)
kommite (komité)
komnikasjonssatlit (kommunikationssatellit)
kompetance (kompetence)
konspitorisk (konspiratorisk)
Konstatinopel (Konstantinopel)
konstantere (konstatere)
konstanterede (konstaterede)
konstanterer (konstaterer)
konstantering (konstatering)
korint (korinth)
korinterbrev (korintherbrev)
kromosomantal (kromosomtal)
kromosomantallet (kromosomtallet)
kvadratkilometre (kvadratkilometer)
kvkm (km²)
købmandsskab (købmandskab)
labratorie (laboratorie eller laboratorium)
landsgreve (landgreve)
landsgreven (landgreven)
lation (latin)
laubærblade (laurbærblade)
leguster (liguster)
ligså (lige så)
linial (lineal)
linie (linje)
linien (linjen)
linier (linjer)
liniere (linjere)
liniering (linjering)
linierne (linjerne)
liniær (lineær)
liniære (lineære)
liniært (lineært)
linkse (linke)
linkser (links (?))
livsline (livline)
loden (lodden)
lodent (loddent)
luftstyrke (luftvåben, flyvevåben)
lydeløs (lydefri, lydløs)
læreranstalt (læreanstalt)
læreranstalten (læreanstalten)
læreranstalter (læreanstalter)
lærne (lærerne, læren)
mandhjerte (mandshjerte)
matematikerer (matematikere)
medlemsskab (medlemskab)
Melanchton (Melanchthon)
menstrutation (menstruation)
messehaglet (messehagelen)
meteologi (meteorologi)
molekylarvægt (molekylvægt)
molekylarvægten (molekylvægten)
Mosegårdskov (Moesgård Skov)
Muhammad (Muhammed)
muhammedansk (muslimsk)
muhammedanske (muslimske)
museumet (museet)
museumets (museets)
mythologi (mytologi)
navnligt (navnlig)
nedstirre (nidstirre)
Neksø (Nexø)
nemligt (nemlig)
nobelprismodtager (nobelpristager)
noglesinde (nogensinde)
novelist (romanforfatter)
onitologer (ornitologer)
ombord (om bord)
Orknøerne (Orkneyøerne)
overbevidst (overbevist)
overbevidste (overbeviste)
overvinte (overvintre)
Padua (Padova)
paradigma (paradigme)
paradigmaer (paradigmer)
paradigmaet (paradigmet)
parafin (paraffin)
parantes (parentes)
paranteser (parenteser)
parantetisk (parentetisk)
pengvinen (pingvinen)
Pensylvania (Pennsylvania)
periferisk (perifer, perifert)
periferiske (perifere)
Philippinerne (Filippinerne)
planktonnet (planktonet)
points (point)
Poland (Polen)
Pommeren (Pommern)
postbudet (postbuddet)
postbudde (postbude)
postbuddene (postbudene)
prefiks (præfiks)
prefikser (præfikser)
prefikset (præfikset)
prefix (præfiks)
prefixer (præfikser)
prefixet (præfikset)
premiereminister (premierminister)
premiereministre (premierministre)
priviligeret (privilegeret)
problemmer (problemer)
proffessor (professor)
progrom (pogrom, program)
progromer (pogromer)
prositueret (prostitueret)
protokolen (protokollen)
protokoler (protokoller)
præcolombiansk (præcolumbiansk)
psykiatriker (psykiater)
pytagoras (pythagoras)
publikumet (publikummet)
påbudet (påbuddet)
påbudene (påbuddene)
rarietet (raritet)
rarieteter (rariteter)
rarieteterne (rariteterne)
reflektion (refleksion) 16 hits pr 09-12-07
religionsudøvelse (religionsøvelse)
reperere (reparere)
reperation (reparation)
risikøer (risikoer eller risici)
Roguefort (Roquefort)
russik (russisk)
rutsche (rutsje)
ryggrad (rygrad)
ræsonere (ræsonnere)
Sachen (Sachsen)
sanskrift (sanskrit)
satelit (satellit)
satelitter (satellitter)
sattelit (satellit)
schuft (sjuft)
Schweitz (Schweiz)
Scotland (Skotland)
sendebudene (sendebuddene)
sendebudenes (sendebuddenes)
sendebudet (sendebuddet)
sendebudets (sendebuddets)
seperabel (separabel)
serumsinstitut (seruminstitut)
shampo (shampoo)
silicone (silikone)
sjete (sjette)
Skagerak (Skagerrak)
skredene (skreddene)
skredenes (skreddenes)
skredet (skreddet)
skredets (skreddets)
skudene (skuddene)
skudenes (skuddenes)
skudet (skuddet)
skudets (skuddets)
skuespilsforfatter (skuespilforfatter, dramatiker)
skulptør (hellere: billedhugger)
snedækt (snedækket)
snedækte (snedækkede)
sovjettisk (sovjetisk)
sovjettiske (sovjetiske)
sportig (sporty)
sportige (sporty)
sportigt (sporty)
spydene (spyddene)
spydenes (spyddenes)
spydet (spyddet)
spydets (spyddets)
spørsmål (spørgsmål)
stadions (stadioner)
statusen (statussen)
statusens (statussens)
statuser (statusser)
statuserne (statusserne)
statusernes (statussernes)
statusers (statussers)
sterefoni (stereofoni)
sterin (stearin)
Storbritanien (Storbritannien)
strukket (strakt)
strukturede (strukturerede)
strøes (strøs)
Svejts (Schweiz)
svingeninger (svingninger)
syntax (syntaks)
sysselssætte (sysselsætte)
sæsonnen (sæsonen)
søn- og helligdage (kan være korrekt; skal dog være søgnehelligdag, hvis der menes helligdag der falder på en dag som ellers ville være en hverdag)
taxonomi (taksonomi)
taxonomisk (taksonomisk)
the (te)
Taleban (Taliban)
teleskop (teleskop, kikkert)
teleskoper (teleskoper, kikkerter)
teleskopet (teleskopet, kikkerten)
temmeligt (temmelig)
termometmager (termometermager)
territotale (territoriale)
thermisk (termisk)
thermiske (termiske)
tilbudene (tilbuddene)
tilbudet (tilbuddet)
tilflugssted (tilflugtssted)
tillbragte (tilbragte)
tilskuerepladsen (tilskuerpladsen)
tilskuerepladser (tilskuerpladser)
tilstede (korrekt i betydningen 'tillade', men normalt menes 'til stede')
tourmalin (turmalin)
tredie (tredje)
triologi (trilogi)
tronfølgerloven (tronfølgeloven)
tyggummi (tyggegummi)
typper (typer)
tøjleløs (tøjlesløs)
tøjleløse (tøjlesløse)
tøjleløst (tøjlesløst)
udannet (uddannet)
udemærket (udmærket)
udflod (udflåd)
udfra (ud fra)
ulinieret (ulinjeret)
ummiddelbart (umiddelbart)
ursurperede (usurperede)
ursurperet (usurperet)
uværgelig (uvægerlig)
vanille (vanilje)
vantrohed (vantro)
vejne (vegne)
verdenen (verden; dog -verdenen i sammensatte ord som filmverdenen)
vermut (vermouth)
vigtigeste (vigtigste)
virkefeldt (virkefelt)
virusser (vira)
vædske (væske)
vædsken (væsken)
vædskens (væskens)
vædsker (væsker)
vædskerne (væskerne)
våbentilstand (våbenstilstand)
zealandsk (newzealandsk)
ærende (ærinde)
ærkebiskopsæde (ærkebispesæde)
ærkebiskopsædet (ærkebispesædet)
æstimat (estimat)
æstime (estime)
æstimere (estimere)
æstimering (estimering)
øjehøjde (øjenhøjde)
øjjet (øjet)
